Iso Code	Language Name	IETF Code	Script
mop	Maya, Mopán	mop	Latin
yua	Maya, Yucatec	yua	Latin
mfy	Mayo	mfy	Latin
maz	Mazahua, Central	maz	Latin
vmy	Mazatec, Ayautla	vmy	Latin
maq	Mazatec, Chiquihuitlán	maq	Latin
mzi	Mazatec, Ixcatlán	mzi	Latin
maj	Mazatec, Jalapa de Díaz	maj	Latin
maa-dialect_sanantonio	Mazatec, San Jerónimo Tecóatl	maa	Latin
maa-dialect_sanjerónimo	Mazatec, San Jerónimo Tecóatl	maa	Latin
mhy	Ma’anyan	mhy	Latin
mhi	Ma’di	mhi	Latin
zmz	Mbandja	zmz	Latin
myb	Mbay	myb	Latin
gai	Mbore	gai	Latin
mqb	Mbuko	mqb	Latin
mbu	Mbula-Bwazza	mbu	Latin
med	Melpa	med	Latin
men	Mende	men	Latin
mee	Mengen	mee	Latin
mwv	Mentawai	mwv	Latin
meq	Merey	meq	Latin
zim	Mesme	zim	Latin
mgo	Meta’	mgo	Latin
mej	Meyah	mej	Latin
mpp	Migabac	mpp	Latin
min	Minangkabau	min	Latin
gum	Misak	gum	Latin
mpx	Misima-Panaeati	mpx	Latin
mco	Mixe, Coatlán	mco	Latin
mxq	Mixe, Juquila	mxq	Latin
pxm	Mixe, Quetzaltepec	pxm	Latin
mto	Mixe, Totontepec	mto	Latin
mim	Mixtec, Alacatlatzala	mim	Latin
xta	Mixtec, Alcozauca	xta	Latin
mbz	Mixtec, Amoltepec	mbz	Latin
mip	Mixtec, Apasco-Apoala	mip	Latin
mib	Mixtec, Atatlahuca	mib	Latin
miy	Mixtec, Ayutla	miy	Latin
mih	Mixtec, Chayuco	mih	Latin
miz	Mixtec, Coatzospan	miz	Latin
xtd	Mixtec, Diuxi-Tilantongo	xtd	Latin
mxt	Mixtec, Jamiltepec	mxt	Latin
xtm	Mixtec, Magdalena Peñasco	xtm	Latin
mxv	Mixtec, Metlatónoc	mxv	Latin
xtn	Mixtec, Northern Tlaxiaco	xtn	Latin
mie	Mixtec, Ocotepec	mie	Latin
mil	Mixtec, Peñoles	mil	Latin
mio	Mixtec, Pinotepa Nacional	mio	Latin
mdv	Mixtec, Santa Lucía Monteverde	mdv	Latin
mza	Mixtec, Santa María Zacatepec	mza	Latin
mit	Mixtec, Southern Puebla	mit	Latin
mxb	Mixtec, Tezoatlán	mxb	Latin
mpm	Mixtec, Yosondúa	mpm	Latin
soy	Miyobe	soy	Latin
cmo-script_latin	Mnong, Central	cmo	Latin
cmo-script_khmer	Mnong, Central	cmo	Latin
mfq	Moba	mfq	Latin
old	Mochi	old	Latin
mfk	Mofu, North	mfk	Latin
mif	Mofu-Gudur	mif	Latin
mkl	Mokole	mkl	Latin
mox	Molima	mox	Latin
myl	Moma	myl	Latin
mqf	Momuna	mqf	Latin
mnw	Mon	mnw	Latin
mon	Mongolian	mn	Latin
mog	Mongondow	mog	Latin
mfe	Morisyen	mfe	Latin
mor	Moro	mor	Latin
mqn	Moronene	mqn	Latin
mgd	Moru	mgd	Latin
mtj	Moskona	mtj	Latin
cmr	Mro-Khimi	cmr	Latin
mtd	Mualang	mtd	Latin
bmr	Muinane	bmr	Latin
moz	Mukulu	moz	Latin
mzm	Mumuye	mzm	Latin
mnb	Muna	mnb	Latin
mnf	Mundani	mnf	Latin
unr	Mundari	unr	Latin
fmu	Muria, Far Western	fmu	Latin
mur	Murle	mur	Latin
tih	Murut, Timugon	tih	Latin
muv	Muthuvan	muv	Latin
muy	Muyang	muy	Latin
sur	Mwaghavul	sur	Latin
moa	Mwan	moa	Latin
wmw	Mwani	wmw	Latin
tnr	Ménik	tnr	Latin
miq	Mískito	miq	Latin
mos	Mòoré	mos	Latin
muh	Mündü	muh	Latin
nas	Naasioi	nas	Latin
mbj	Nadëb	mbj	Latin
nfr	Nafaanra	nfr	Latin
kfw	Naga, Kharam	kfw	Latin
nst	Naga, Tangshang	nst	Latin
nag	Nagamese	nag	Latin
nch	Nahuatl, Central Huasteca	nch	Latin
nhe	Nahuatl, Eastern Huasteca	nhe	Latin
ngu	Nahuatl, Guerrero	ngu	Latin
azz	Nahuatl, Highland Puebla	azz	Latin
nhx	Nahuatl, Isthmus-Mecayapan	nhx	Latin
ncl	Nahuatl, Michoacán	ncl	Latin
nhy	Nahuatl, Northern Oaxaca	nhy	Latin
ncj	Nahuatl, Northern Puebla	ncj	Latin
nsu	Nahuatl, Sierra Negra	nsu	Latin
npl	Nahuatl, Southeastern Puebla	npl	Latin
nuz	Nahuatl, Tlamacazapa	nuz	Latin
nhw	Nahuatl, Western Huasteca	nhw	Latin
nhi	Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla	nhi	Latin
nlc	Nalca	nlc	Latin
nab	Nambikuára, Southern	nab	Latin
gld	Nanai	gld	Latin
nnb	Nande	nnb	Latin
npy	Napu	npy	Latin
pbb	Nasa	pbb	Latin
ntm	Nateni	ntm	Latin
nmz	Nawdm	nmz	Latin
naw	Nawuri	naw	Latin
nxq	Naxi	nxq	Latin
ndj	Ndamba	ndj	Latin
ndz	Ndogo	ndz	Latin
ndv	Ndut	ndv	Latin
new	Newar	new	Latin
nij	Ngaju	nij	Latin
sba	Ngambay	sba	Latin
gng	Ngangam	gng	Latin
nga	Ngbaka	nga	Latin
nnq	Ngindo	nnq	Latin
ngp	Ngulu	ngp	Latin
gym	Ngäbere	gym	Latin
kdj	Ng’akarimojong	kdj	Latin
nia	Nias	nia	Latin
nim	Nilamba	nim	Latin
nin	Ninzo	nin	Latin
nko	Nkonya	nko	Latin
nog	Nogai	nog	Latin
lem	Nomaande	lem	Latin
not	Nomatsigenga	not	Latin
nhu	Noone	nhu	Latin
bud	Ntcham	bud	Latin
nus	Nuer	nus	Latin
yas	Nugunu	yas	Latin
nnw	Nuni, Southern	nnw	Latin
nwb	Nyabwa	nwb	Latin
nyy	Nyakyusa-Ngonde	nyy	Latin
nyn	Nyankore	nyn	Latin
rim	Nyaturu	rim	Latin
lid	Nyindrou	lid	Latin
nuj	Nyole	nuj	Latin
nyo	Nyoro	nyo	Latin
nzi	Nzema	nzi	Latin
ann	Obolo	ann	Latin
